x,y
img_13831.jpg,0
img_14186.jpg,0
img_30030.jpg,0
img_21129.jpg,0
img_37993.jpg,0
img_5805.jpg,0
img_23070.jpg,0
img_26108.jpg,0
img_20579.jpg,0
img_16975.jpg,0
img_38450.jpg,0
img_38444.jpg,0
img_37777.jpg,0
img_23064.jpg,0
img_24092.jpg,0
img_4266.jpg,0
img_16746.jpg,0
img_16020.jpg,0
img_4528.jpg,0
img_5636.jpg,0
img_39014.jpg,7
img_27558.jpg,7
img_32633.jpg,7
img_34242.jpg,7
img_34524.jpg,7
img_27216.jpg,7
img_18794.jpg,7
img_29549.jpg,7
img_38322.jpg,7
img_11968.jpg,7
img_34518.jpg,7
img_36482.jpg,7
img_34295.jpg,7
img_2617.jpg,7
img_10337.jpg,7
img_41178.jpg,7
img_32800.jpg,7
img_37978.jpg,7
img_6459.jpg,7
img_7753.jpg,7
img_11798.jpg,6
img_2818.jpg,6
img_7960.jpg,6
img_20223.jpg,6
img_26652.jpg,6
img_36455.jpg,6
img_41805.jpg,6
img_22346.jpg,6
img_12285.jpg,6
img_20551.jpg,6
img_10492.jpg,6
img_21667.jpg,6
img_28125.jpg,6
img_315.jpg,6
img_25373.jpg,6
img_35160.jpg,6
img_4299.jpg,6
img_33511.jpg,6
img_41839.jpg,6
img_41187.jpg,6
img_30756.jpg,1
img_34530.jpg,1
img_22352.jpg,1
img_34256.jpg,1
img_13825.jpg,1
img_23058.jpg,1
img_25401.jpg,1
img_41193.jpg,1
img_25367.jpg,1
img_2824.jpg,1
img_39982.jpg,1
img_36469.jpg,1
img_31306.jpg,1
img_40299.jpg,1
img_31460.jpg,1
img_32169.jpg,1
img_24938.jpg,1
img_11983.jpg,1
img_9030.jpg,1
img_10445.jpg,1
img_26134.jpg,8
img_37039.jpg,8
img_21883.jpg,8
img_32141.jpg,8
img_32627.jpg,8
img_36441.jpg,8
img_16791.jpg,8
img_18964.jpg,8
img_16785.jpg,8
img_29575.jpg,8
img_11954.jpg,8
img_30742.jpg,8
img_3284.jpg,8
img_18780.jpg,8
img_5193.jpg,8
img_9965.jpg,8
img_21673.jpg,8
img_33277.jpg,8
img_12252.jpg,8
img_10.jpg,8
img_329.jpg,4
img_22434.jpg,4
img_35148.jpg,4
img_16949.jpg,4
img_39772.jpg,4
img_29561.jpg,4
img_30024.jpg,4
img_38478.jpg,4
img_22420.jpg,4
img_39000.jpg,4
img_37005.jpg,4
img_1493.jpg,4
img_28643.jpg,4
img_31312.jpg,4
img_7948.jpg,4
img_21115.jpg,4
img_7790.jpg,4
img_37011.jpg,4
img_467.jpg,4
img_9756.jpg,4
img_28119.jpg,3
img_14838.jpg,3
img_12291.jpg,3
img_33539.jpg,3
img_25429.jpg,3
img_33263.jpg,3
img_14804.jpg,3
img_31474.jpg,3
img_39028.jpg,3
img_39996.jpg,3
img_2830.jpg,3
img_23702.jpg,3
img_30018.jpg,3
img_27564.jpg,3
img_35606.jpg,3
img_22391.jpg,3
img_14623.jpg,3
img_20586.jpg,3
img_21840.jpg,3
img_19307.jpg,3
img_31448.jpg,2
img_11940.jpg,2
img_10486.jpg,2
img_5811.jpg,2
img_37987.jpg,2
img_9959.jpg,2
img_26646.jpg,2
img_14192.jpg,2
img_24737.jpg,2
img_26120.jpg,2
img_21897.jpg,2
img_35612.jpg,2
img_473.jpg,2
img_38336.jpg,2
img_21101.jpg,2
img_9971.jpg,2
img_18958.jpg,2
img_22408.jpg,2
img_33505.jpg,2
img_28657.jpg,2
img_29207.jpg,5
img_36327.jpg,5
img_20545.jpg,5
img_9795.jpg,5
img_7974.jpg,5
img_9781.jpg,5
img_39766.jpg,5
img_29213.jpg,5
img_36333.jpg,5
img_27570.jpg,5
img_35174.jpg,5
img_23716.jpg,5
img_24079.jpg,5
img_301.jpg,5
img_32182.jpg,5
img_32828.jpg,5
img_19475.jpg,5
img_40500.jpg,5
img_30959.jpg,5
img_4500.jpg,5
